 ,Length,Ratio,1/Ratio,Fibonacci subdivision,,Error(mm),Hamilton,Error(mm),Littler,Error(mm)
Thumb,,,,Reference,,,,,,
,83.726,0.644715666268818,1.55107135179036,,83.726,,,,,
,129.865,0.668439013593712,1.49602279290032,,,,,,,
,194.281,,,,,,,,,
Index,,,,,,,,,,
,67.602,0.647572155221136,1.54422946066684,,,,,,,
,104.393,0.556030189563615,1.79846349851044,,,,,,,
,187.747,0.542383114932169,1.84371521249341,,,,,,,
,346.152,,,,,,,,,
Middle,,,,,,,,,,
,76,0.593295757935331,1.6855,,,,,,,
,128.098,0.598270080424447,1.6714858936127,,,,,,,
,214.114,0.642244378854414,1.5570397078192,,,,,,,
,333.384,,,,,,,,,
Ring,,,,,,,,,,
,80.225,0.634295021307885,1.57655344344032,,,,,,,
,126.479,0.622800754378795,1.60564994979404,,,,,,,
,203.081,0.68053898636784,1.46942353051246,,,,,,,
,298.412,,,,,,,,,
Little,,,,,,,,,,
,63.569,0.788472272180395,1.26827541726313,,,,,,,
,80.623,0.558041183595778,1.79198243677363,,,,,,,
,144.475,0.529067106106381,1.89011939781969,,,,,,,
,273.075,,,,,,,,,
