,Thu-PP/DP,Thu-MC/DP,Ind-IP/DP,Ind-PP/DP,Ind-MC/DP,Mid-IP/DP,Mid-PP/DP,Mid-MC/DP,Ring-IP/DP,Ring-PP/DP,Ring-MC/DP,Lit-IP/DP,Lit-PP/DP,Lit-MC/DP,colour
50,1.328,2.043,1.325,2.492,4.41,1.564,2.483,3.846,1.35,2.315,3.319,1.024,2.152,3.684,1.1
135,1.476,2.09,1.265,2.397,4.211,1.591,2.734,4.16,1.362,2.322,3.227,1.106,2.082,3.594,1.2
256,1.61,2.522,1.457,2.63,4.382,1.981,2.999,4.403,1.716,2.515,3.446,1.234,2.139,3.447,1.3
262,1.298,2.114,1.294,2.538,4.545,1.842,3.162,4.933,1.683,2.752,4.222,1.257,2.381,4.069,1.4
382,1.423,2.162,1.478,2.854,4.905,1.635,2.732,4.032,1.531,2.425,3.446,1.17,2.061,3.479,1.5
485,1.536,2.188,1.516,2.879,5.124,1.536,2.684,4.057,1.463,2.803,3.84,1.099,2.124,3.606,2.5
551,1.45,2.097,1.286,2.192,4.121,1.49,2.367,3.632,1.373,2.137,3.172,1.099,1.8,3,3.5
604,1.666,2.343,1.245,2.676,4.867,1.374,2.471,4.103,1.309,2.385,3.371,1.021,1.933,3.316,4.5
648,1.647,2.352,1.41,2.403,4.223,1.645,2.514,3.715,1.549,2.352,3.089,1.155,1.896,3.134,5.5
705,1.64,2.58,1.447,2.654,4.772,1.595,2.644,4.073,1.477,2.274,2.986,1.203,2.509,3.863,6.5
752,2.112,2.969,1.544,2.776,4.776,1.642,2.762,4.24,1.504,2.549,3.728,1.351,2.338,3.849,7.5
831,1.223,1.933,1.497,2.617,4.739,1.539,2.559,3.735,1.32,2.063,2.816,1.062,1.684,2.728,8.5
872,1.507,2.297,1.461,2.564,4.311,1.555,2.7,3.882,1.468,2.328,3.016,1.259,2.142,3.306,9.5
997,1.496,2.077,1.385,2.501,4.242,1.574,2.491,3.642,1.444,2.353,3.068,1.192,2.07,3.257,10.5
1019,1.253,1.965,1.289,2.559,4.539,1.516,2.683,4.39,1.403,2.297,3.504,1.019,1.826,3.173,11.5
1067,1.448,2.274,1.451,2.453,4.271,1.634,2.749,3.828,1.443,2.438,3.239,1.034,2.016,3.338,12.5
1079,1.398,2.323,1.392,2.427,4.582,1.546,2.616,4.029,1.487,2.418,3.354,1.201,2.187,3.547,13.5
1113,1.306,2.054,1.314,2.142,3.768,1.52,2.489,3.562,1.445,2.344,2.932,1.082,1.795,3.025,14.5
1124,1.562,2.427,1.311,2.196,4.106,1.548,2.442,3.793,1.442,2.363,3.165,1.139,1.884,3.196,15.5
1159,1.542,2.406,1.458,2.483,4.234,1.658,2.442,3.719,1.578,2.4,3.16,1.214,2.006,2.992,16.5
