,SOD,SOD Error,SDD,SDD Error,Rotating Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,283,183,383.97518918921327,243.97518918921327,"[  2.05831147  17.63189786   2.86564739  17.93516887 -12.08307286
  -9.94869954 -12.59830094  -7.51358163 -12.48449632   3.58049406
  16.11231835   3.64629352  -6.69003608   6.18879038  13.03459599
  -2.46361487  15.88897279 -14.42419109  18.61468436  12.8386842
  -2.95478573   3.3471084    2.12377722  -8.79506447  16.76312984
  16.30592266 -17.03143651 -17.69026172   4.33820126  -9.66110521
 -19.94343747  10.57031086  13.57261856  -1.32334947 -14.02076878
  11.69544415  -3.34694448   0.09980351  -4.60272511 -16.2071854
  15.30283715 -11.60354191   2.70050902   7.75691292 -14.60168074
   8.57436731 -13.2331515   13.16190816]",0.9999874932774708,0.00032928081863145857,0.001123879064564208,4.116190588690944e-06,1.124659011724171,78.04341220855713
1,209,109,286.49791905840306,146.49791905840306,"[  0.47611597  17.95285696   0.76063047 -18.8129029   14.40799851
  -0.58670274 -10.63678071  -8.05089264 -10.3451543   10.61149172
  17.710376    -8.54528028 -16.03782145  -8.38151851   2.21727851
 -18.95105464  -3.45439233   6.08665245  -3.90459699  -4.77992573
  -7.56960169  -6.12530541  -6.55269729  13.00734015   1.15919816
  16.0107746  -13.61494362   9.94589788  -7.5974347   -3.02164476
   5.61133046   9.20808678  -8.71504203   6.33880949   4.00387885
  -4.79730087 -14.41688665  15.8916864   -3.66571868 -16.5350684
   4.24842639  -0.26565065 -13.57956528  12.30722166  15.57970686
 -15.89706542   8.24358864  16.44042139]",0.9999896888815767,0.0002576473699365225,0.0009189646103586658,3.2207023948145966e-06,1.2111819603212708,73.73475170135498
2,503,403,689.5767850325375,549.5767850325375,"[ -2.76149147  19.37173011  11.83121763 -15.43683991  18.85169418
  19.82448283  14.59361904 -18.63504551  10.61820929 -13.02034777
  -8.86136419  18.83294404  12.58580833  11.89356339  -7.51889321
 -18.06279377  -2.87622034 -19.99758078  -3.64197058   4.31911537
  11.08542323 -18.93937262 -13.41564358  16.15107411  -2.81290082
  -8.14770188 -11.34819358  13.20193243  -4.94632433  -6.72232283
  -4.50256717 -19.56512465  17.62803945  -8.91384593 -15.54267647
   8.95741214  -4.92548318 -18.46297521  -5.52225143   1.16205835
 -11.1210359   -5.0152971  -15.36674342   7.02213224 -13.19469449
 -16.43952839  12.40599354 -15.51798935]",0.9999861211364954,0.0003196015766459621,0.00106505487539659,3.9952036396706905e-06,1.1133691404035502,75.45289969444275
3,168,68,239.1099803093257,99.10998030932569,"[  1.47929052  13.27116954   3.29122052 -12.13601039 -12.02724992
  18.00665686  16.67620758   6.63224307  13.54158379  19.64483027
 -18.78956514  10.09757517  13.72588718 -18.82443513  18.56999291
  -1.39570943  13.3009019    8.49391913 -15.15934556 -17.53225382
   1.78535821   1.19498234 -10.07708125  18.1393906   -4.67268755
  -5.56045166  13.53669449   6.59625027  -8.76729618 -15.83065149
  14.5641827    0.60005036 -19.53662173  -2.12938776  -5.43779543
   7.41389658  -8.21754201   1.67948621   1.37189147  -4.99747657
   8.46484816  -6.57176348  -8.1093075   18.8808707  -12.16342943
 -15.58520474 -17.67513685  14.71661375]",0.9999874398015709,0.00033174968686782656,0.00099406219078678,4.147000407015049e-06,1.1870288696636502,79.4032654762268
4,505,405,687.7311594985347,547.7311594985347,"[  1.84796338  17.38277651   2.78498229 -10.84821334  -7.12400658
 -17.81331025  16.35467421 -15.60614685  14.24011553 -14.68759082
 -16.37844679   1.05832775 -18.45187154   2.55942529  14.02760597
  -0.97877494   9.74433574  17.84753513  -9.02885691 -19.15883456
   0.36579035  -7.86919405  13.51938959  16.10359152  -0.94311823
  11.40879424  10.50987608   0.44170681  14.91162497   7.55309702
  15.10762832  -3.65288568   3.62370436   1.8100428   -1.96721827
  -9.86323613   8.98004274  -1.56196376  12.76801029  15.03932424
  18.52130251  16.75452165  10.08818954 -16.44273631   5.79683321
  10.39628848 -17.68249038 -16.00204479]",0.9999882285408935,0.00025965552777051926,0.0009114284946158914,3.245813897745852e-06,1.232521918513238,75.1262264251709
5,144,44,185.66744357718875,45.66744357718875,"[  2.05074316  16.38681881  -1.02194476 -12.01864299  -7.17481449
  18.06652135 -10.97326814   0.25855407  15.18028147  -5.20393011
   2.62623626  15.63499945   9.9014295   -5.88417776   6.70521366
  17.71640054  -8.4064128  -12.21819786  -6.65951707   3.8098087
  -6.46230571  -6.92155274  -6.11755865   4.19349229   1.81091918
  18.3496115   -8.36187315   4.62791771  10.18917638  18.08384255
   5.5557046    4.80860632  -8.25412967   8.05743577   1.1161344
  -9.00328456   7.23942941  14.35793831   7.39380943 -12.51701325
  -8.11236126  12.73086381   8.33400154   8.305943   -14.32866108
  16.24240674   4.53928513   9.80603881]",0.9999865044958275,0.0003100462426017556,0.0010536915674430646,3.875764004856147e-06,1.1261211591839455,68.94051361083984
6,334,234,460.86663347047426,320.86663347047426,"[ -3.2980903   16.87605781   6.31519887 -14.53077983  -7.78285475
  -6.53991427  17.95546218   2.10486798 -18.20820667  16.44372024
  12.2514904   16.21192512   8.95694853   2.45191689   3.07940636
  14.49709563   9.49033338 -18.64969763  -5.29008997  17.08294422
  -3.80778824   1.76536677  12.0369234   -1.12439777  18.35646574
  19.72841463  17.41724634   5.24162926  -9.23244222   5.88668423
  -1.05632086  -4.77749277  11.26110043  13.05327396 -10.23645134
   8.11123638   0.15700316  -5.8202315   -8.65061394   3.98089767
  14.05425928  11.8663249   -8.88931323  -1.82774343  -5.83473977
   5.53605485   7.91703395 -10.78944713]",0.9999859584525299,0.00030755934939305816,0.001025286357035934,3.84466433910489e-06,1.1260413687546826,69.440016746521
7,217,117,298.20645764279527,158.20645764279527,"[  3.06867282  15.80423198  -4.21036006  -5.6404108   16.60613601
 -18.40184668  -3.26386877  18.12051556  -4.25689294  -2.94536443
 -15.07075719  -8.04782574   5.73591192   0.68946827  -5.17391121
  11.19048422  -7.81148895 -18.30431443   4.74646364   7.79639068
  -4.52967507 -18.85226929  -1.1446513   19.42895161  -7.34219433
  13.25464714  -7.67415627 -14.49742424 -11.54497203  -5.40398092
  -9.92888453 -10.50779622  12.00449018  -6.09958324 -11.50324561
 -10.60820462 -13.20641238  12.18961079  12.29720541 -12.2093321
   7.92831443  11.83714138  12.22491436  10.43209367 -11.85684296
 -13.94941912  10.45352997   9.39656606]",0.9999866008402996,0.00030506015819911327,0.0009743212554438957,3.813399850686723e-06,1.1681148679396116,72.92494797706604
8,687,587,942.99489734482,802.99489734482,"[  1.4874912   11.77608077   5.01350864  -1.97758872  -8.77924887
 -12.89193451  -2.38105363  12.98196884   4.00817979 -13.50609416
   5.23003189   9.19489762 -16.6679615   -0.02641557  -8.03194275
 -14.81546486   8.34828273  -8.27595376 -11.39106687  15.98090904
   2.11409405  19.21432524   3.05856522  12.2009692  -17.80107057
  -8.66149802   7.94384571 -11.65078181  -2.65953256  10.33108214
 -11.27469777 -17.56497535  14.80692452  14.72706562  14.94280788
  12.63187509  -4.8210267   -9.01747851 -14.93895966 -17.46449016
  -6.0716027   -4.84863435  -3.29166402  -6.89489208  -2.49065736
  -7.86037643  15.43473403  -0.36016029]",0.9999869648451982,0.00029805246999280323,0.0009391410218990903,3.7257901364181736e-06,1.1958161704443095,70.54830312728882
9,367,267,509.8046395821624,369.8046395821624,"[ 2.28962486e+00  1.90948475e+01  8.62509364e+00 -5.76057563e+00
  1.83279338e+01  7.59811215e+00  1.86619705e+01  1.03861355e+01
  6.68904603e+00  1.61074551e+01  1.64062891e+01 -6.75249764e+00
 -1.42756329e+01 -2.63324982e-02 -1.01352083e+01  3.12943333e+00
 -4.10614052e+00 -1.43843026e+01  1.01379371e+01  6.33032885e+00
  1.37761461e+00 -1.36431311e+00  7.30977713e+00 -1.04298842e+01
 -2.87456944e+00  7.05240648e+00 -8.22542912e+00 -3.25212631e+00
 -4.30761960e+00  1.62289672e+01  7.11195400e+00 -1.51458175e+01
 -1.09403330e+01  1.43265494e+01  9.10296794e+00 -9.20499335e+00
 -9.28272273e+00 -6.18635203e-01 -1.41577945e+01  1.62397995e+00
  1.75178973e+01 -1.18977517e+00  1.71447383e+01  8.94746800e+00
 -1.41601510e+01 -6.10376926e+00 -3.63803572e+00 -1.58118464e-02]",0.9999877420034525,0.0002658978402097192,0.0008823869076848074,3.3238539191050074e-06,1.2238735419938993,73.18513512611389
